,PC1,PC2,group,tissue,stage,type,sam,idxOrder
RET_15W_emb2_rep1_43,25.14086173,14.83757507,8,RET,13W,Photoreceptor,RET_15W_emb2_rep1_43,568
RET_15W_emb2_rep1_44,1.060057705,31.10061409,5,RET,13W,Amacrine,RET_15W_emb2_rep1_44,569
RET_15W_emb2_rep1_45,25.07906267,15.04490097,8,RET,13W,Photoreceptor,RET_15W_emb2_rep1_45,570
RET_15W_emb2_rep1_46,-26.40484275,-11.42982203,18,RET,13W,Microglia,RET_15W_emb2_rep1_46,571
RET_15W_emb2_rep1_47,-3.407638317,19.05943248,12,RET,13W,Horizontal,RET_15W_emb2_rep1_47,572
RET_15W_emb2_rep1_48,-4.190551675,21.39349846,12,RET,13W,Horizontal,RET_15W_emb2_rep1_48,573
RET_15W_emb2_rep1_49,-2.043257869,24.39018605,5,RET,13W,Amacrine,RET_15W_emb2_rep1_49,574
RET_15W_emb2_rep1_50,-3.254791731,23.78775873,5,RET,13W,Amacrine,RET_15W_emb2_rep1_50,575
RET_15W_emb2_rep1_51,-0.07500624,22.72485961,3,RET,13W,Amacrine,RET_15W_emb2_rep1_51,576
RET_15W_emb2_rep1_52,-2.9770449489999997,30.09118448,5,RET,13W,Amacrine,RET_15W_emb2_rep1_52,577
RET_15W_emb2_rep1_53,23.9592388,15.20822935,8,RET,13W,Photoreceptor,RET_15W_emb2_rep1_53,578
RET_15W_emb2_rep1_54,1.288345152,22.64065102,3,RET,13W,Amacrine,RET_15W_emb2_rep1_54,579
RET_15W_emb2_rep1_55,-1.965346367,17.21652788,3,RET,13W,Horizontal,RET_15W_emb2_rep1_55,580
RET_15W_emb2_rep1_56,-15.97032435,5.313892691,4,RET,13W,RGC,RET_15W_emb2_rep1_56,581
RET_15W_emb2_rep1_57,21.84449979,15.06315529,8,RET,13W,Photoreceptor,RET_15W_emb2_rep1_57,582
RET_15W_emb2_rep1_58,-2.0613824,25.30851227,5,RET,13W,Amacrine,RET_15W_emb2_rep1_58,583
RET_15W_emb2_rep1_59,-3.308749565,18.45839437,12,RET,13W,Horizontal,RET_15W_emb2_rep1_59,584
RET_15W_emb2_rep1_60,-0.672537243,28.25876403,5,RET,13W,Amacrine,RET_15W_emb2_rep1_60,585
RET_15W_emb2_rep1_61,-4.232755611,21.55292325,12,RET,13W,Horizontal,RET_15W_emb2_rep1_61,586
RET_15W_emb2_rep1_62,-0.229455178,22.826453,3,RET,13W,Amacrine,RET_15W_emb2_rep1_62,587
RET_15W_emb2_rep1_63,-9.065812289,-9.771184762,2,RET,13W,RPC,RET_15W_emb2_rep1_63,588
RET_15W_emb2_rep1_64,-3.0141884930000002,18.68906377,3,RET,13W,Horizontal,RET_15W_emb2_rep1_64,589
RET_15W_emb2_rep1_65,-3.539948947,20.14362147,12,RET,13W,Horizontal,RET_15W_emb2_rep1_65,590
RET_15W_emb2_rep1_66,-0.60314661,24.28612211,3,RET,13W,Amacrine,RET_15W_emb2_rep1_66,591
RET_15W_emb2_rep1_67,-0.061988092,21.88059797,3,RET,13W,Amacrine,RET_15W_emb2_rep1_67,592
RET_15W_emb2_rep1_68,-1.003769619,23.70765831,5,RET,13W,Amacrine,RET_15W_emb2_rep1_68,593
RET_15W_emb2_rep1_69,-1.947214774,25.79085009,5,RET,13W,Amacrine,RET_15W_emb2_rep1_69,594
RET_15W_emb2_rep1_70,-2.9562904039999998,24.69128059,5,RET,13W,Amacrine,RET_15W_emb2_rep1_70,595
RET_15W_emb2_rep1_71,1.797241546,21.85437429,3,RET,13W,Amacrine,RET_15W_emb2_rep1_71,596
RET_15W_emb2_rep1_72,-0.41154799200000003,24.25399922,3,RET,13W,Amacrine,RET_15W_emb2_rep1_72,597
RET_15W_emb2_rep1_73,7.837403274,28.29966275,5,RET,13W,Amacrine,RET_15W_emb2_rep1_73,598
RET_15W_emb2_rep1_74,-4.282302471,17.12192028,12,RET,13W,Horizontal,RET_15W_emb2_rep1_74,599
RET_15W_emb2_rep1_75,1.8729051330000002,22.34507147,3,RET,13W,Amacrine,RET_15W_emb2_rep1_75,600
RET_15W_emb2_rep1_76,24.33052378,14.86015854,8,RET,13W,Photoreceptor,RET_15W_emb2_rep1_76,601
RET_15W_emb2_rep1_77,8.731883365,7.502740423,9,RET,13W,Muller,RET_15W_emb2_rep1_77,602
RET_15W_emb2_rep1_78,-1.7951345140000001,25.72771726,5,RET,13W,Amacrine,RET_15W_emb2_rep1_78,603
RET_15W_emb2_rep1_79,-1.23767264,26.14769221,5,RET,13W,Amacrine,RET_15W_emb2_rep1_79,604
RET_15W_emb2_rep1_80,-3.688794389,20.52851512,12,RET,13W,Horizontal,RET_15W_emb2_rep1_80,605
RET_15W_emb2_rep1_81,-3.573427198,24.17836695,5,RET,13W,Amacrine,RET_15W_emb2_rep1_81,606
RET_15W_emb2_rep1_82,-3.247594494,23.53229418,5,RET,13W,Amacrine,RET_15W_emb2_rep1_82,607
RET_15W_emb2_rep1_83,4.275476506,4.036819188,9,RET,13W,RPC,RET_15W_emb2_rep1_83,608
RET_15W_emb2_rep1_84,6.270671931,6.521508465,9,RET,13W,RPC,RET_15W_emb2_rep1_84,609
RET_15W_emb2_rep1_85,20.59524692,16.64523043,8,RET,13W,Photoreceptor,RET_15W_emb2_rep1_85,610
RET_15W_emb2_rep1_86,-1.034522324,27.76023279,5,RET,13W,Amacrine,RET_15W_emb2_rep1_86,611
RET_15W_emb2_rep1_87,-1.3335908779999999,27.47324174,5,RET,13W,Amacrine,RET_15W_emb2_rep1_87,612
RET_15W_emb2_rep1_88,-2.5040678730000003,24.62540134,5,RET,13W,Amacrine,RET_15W_emb2_rep1_88,613
RET_15W_emb2_rep1_89,-2.665034069,18.40215849,3,RET,13W,Horizontal,RET_15W_emb2_rep1_89,614
RET_15W_emb2_rep1_90,-0.48668020799999995,22.35429817,3,RET,13W,Amacrine,RET_15W_emb2_rep1_90,615
RET_19W_emb1_rep1_17,8.876979392,5.990888745,9,RET,17W,Muller,RET_19W_emb1_rep1_17,616
RET_19W_emb1_rep1_18,2.6883503230000003,26.27903292,5,RET,17W,Amacrine,RET_19W_emb1_rep1_18,617
RET_19W_emb1_rep1_19,23.02446141,14.67756346,8,RET,17W,Photoreceptor,RET_19W_emb1_rep1_19,618
RET_19W_emb1_rep1_20,2.87174669,26.48203867,5,RET,17W,Amacrine,RET_19W_emb1_rep1_20,619
RET_19W_emb1_rep1_21,1.9674851709999999,22.78938664,3,RET,17W,Amacrine,RET_19W_emb1_rep1_21,620
RET_19W_emb1_rep1_22,8.862318336,5.779788974,9,RET,17W,Muller,RET_19W_emb1_rep1_22,621
RET_19W_emb1_rep1_24,3.4528537760000004,24.80797399,3,RET,17W,Amacrine,RET_19W_emb1_rep1_24,622
RET_19W_emb1_rep1_25,1.2284386999999999,24.75746656,3,RET,17W,Amacrine,RET_19W_emb1_rep1_25,623
RET_19W_emb1_rep1_26,4.977564432,23.08116285,3,RET,17W,Amacrine,RET_19W_emb1_rep1_26,624
RET_19W_emb1_rep1_27,4.800709682,24.85758486,3,RET,17W,Amacrine,RET_19W_emb1_rep1_27,625
RET_19W_emb1_rep1_28,10.05165463,6.743263073,9,RET,17W,Muller,RET_19W_emb1_rep1_28,626
RET_19W_emb1_rep1_29,23.92278915,15.06083163,8,RET,17W,Photoreceptor,RET_19W_emb1_rep1_29,627
RET_19W_emb1_rep1_30,1.393805833,30.06378548,5,RET,17W,Amacrine,RET_19W_emb1_rep1_30,628
RET_19W_emb1_rep1_31,2.65964425,28.28488383,5,RET,17W,Amacrine,RET_19W_emb1_rep1_31,629
RET_19W_emb1_rep1_32,2.8644652219999998,25.54025197,3,RET,17W,Amacrine,RET_19W_emb1_rep1_32,630
RET_19W_emb1_rep1_33,23.63780222,15.39027379,8,RET,17W,Photoreceptor,RET_19W_emb1_rep1_33,631
RET_19W_emb1_rep1_35,24.48751587,18.44563227,8,RET,17W,Photoreceptor,RET_19W_emb1_rep1_35,632
RET_19W_emb1_rep1_36,-27.82668191,-11.0480225,18,RET,17W,Microglia,RET_19W_emb1_rep1_36,633
RET_19W_emb1_rep1_37,3.298072907,23.13157208,3,RET,17W,Amacrine,RET_19W_emb1_rep1_37,634
RET_19W_emb1_rep1_38,4.667152967,23.03110472,3,RET,17W,Amacrine,RET_19W_emb1_rep1_38,635
RET_19W_emb1_rep1_39,3.243830168,28.08431944,5,RET,17W,Amacrine,RET_19W_emb1_rep1_39,636
RET_19W_emb1_rep1_40,22.23953106,17.07838892,8,RET,17W,Photoreceptor,RET_19W_emb1_rep1_40,637
RET_19W_emb1_rep1_41,4.388783105,23.18891779,3,RET,17W,Amacrine,RET_19W_emb1_rep1_41,638
RET_19W_emb1_rep1_42,-30.87084945,-12.27496614,18,RET,17W,Microglia,RET_19W_emb1_rep1_42,639
RET_19W_emb1_rep1_43,-18.07672197,20.80561009,7,RET,17W,RGC,RET_19W_emb1_rep1_43,640
RET_19W_emb1_rep1_44,22.84570469,16.88374987,8,RET,17W,Photoreceptor,RET_19W_emb1_rep1_44,641
RET_19W_emb1_rep1_45,3.573179492,24.39578445,3,RET,17W,Amacrine,RET_19W_emb1_rep1_45,642
RET_19W_emb1_rep1_46,3.766924897,25.16367972,3,RET,17W,Amacrine,RET_19W_emb1_rep1_46,643
RET_19W_emb1_rep1_47,4.638965605,23.21418604,3,RET,17W,Amacrine,RET_19W_emb1_rep1_47,644
RET_19W_emb1_rep1_48,3.29710943,24.38661506,3,RET,17W,Amacrine,RET_19W_emb1_rep1_48,645
RET_19W_emb1_rep1_49,2.925146307,27.42779243,5,RET,17W,Amacrine,RET_19W_emb1_rep1_49,646
RET_19W_emb1_rep1_50,8.710321231,6.454660033,9,RET,17W,Muller,RET_19W_emb1_rep1_50,647
RET_19W_emb1_rep2_1,1.113505638,32.72534558,5,RET,17W,Amacrine,RET_19W_emb1_rep2_1,648
RET_19W_emb1_rep2_2,3.1217902989999997,31.676498600000002,5,RET,17W,Amacrine,RET_19W_emb1_rep2_2,649
RET_19W_emb1_rep2_3,25.52756285,18.47475104,8,RET,17W,Photoreceptor,RET_19W_emb1_rep2_3,650
RET_19W_emb1_rep2_4,2.33343647,29.428624300000003,5,RET,17W,Amacrine,RET_19W_emb1_rep2_4,651
RET_19W_emb1_rep2_5,3.937869558,31.652469399999998,5,RET,17W,Amacrine,RET_19W_emb1_rep2_5,652
RET_19W_emb1_rep2_6,4.845370657,33.13313041,5,RET,17W,Amacrine,RET_19W_emb1_rep2_6,653
RET_19W_emb1_rep2_7,2.155713112,29.18968076,5,RET,17W,Amacrine,RET_19W_emb1_rep2_7,654
RET_19W_emb1_rep2_8,1.520974311,32.47688478,5,RET,17W,Amacrine,RET_19W_emb1_rep2_8,655
RET_19W_emb1_rep2_9,2.410323937,30.81047569,5,RET,17W,Amacrine,RET_19W_emb1_rep2_9,656
RET_19W_emb1_rep2_10,-19.08252779,20.15565205,7,RET,17W,RGC,RET_19W_emb1_rep2_10,657
RET_19W_emb1_rep2_11,7.966074342000001,7.081613285,9,RET,17W,Muller,RET_19W_emb1_rep2_11,658
RET_19W_emb1_rep2_12,23.93717476,16.81108944,8,RET,17W,Photoreceptor,RET_19W_emb1_rep2_12,659
RET_19W_emb1_rep2_13,4.699194311,33.11951121,5,RET,17W,Amacrine,RET_19W_emb1_rep2_13,660
RET_19W_emb1_rep2_14,-18.53323459,20.67933462,7,RET,17W,RGC,RET_19W_emb1_rep2_14,661
RET_19W_emb1_rep2_15,3.736972163,30.470054100000002,5,RET,17W,Amacrine,RET_19W_emb1_rep2_15,662
RET_19W_emb1_rep2_16,24.47546774,18.27579327,8,RET,17W,Photoreceptor,RET_19W_emb1_rep2_16,663
RET_19W_emb1_rep2_17,4.172567025,31.12805836,5,RET,17W,Amacrine,RET_19W_emb1_rep2_17,664
RET_19W_emb1_rep2_18,-30.91342799,-14.42052631,18,RET,17W,Microglia,RET_19W_emb1_rep2_18,665
RET_19W_emb1_rep2_19,2.828735768,32.32181596,5,RET,17W,Amacrine,RET_19W_emb1_rep2_19,666
RET_19W_emb1_rep2_20,5.072066484,33.07854135,5,RET,17W,Amacrine,RET_19W_emb1_rep2_20,667
RET_19W_emb1_rep2_21,4.54223209,29.50587137,5,RET,17W,Amacrine,RET_19W_emb1_rep2_21,668
RET_19W_emb1_rep2_22,3.5972849589999996,31.44684507,5,RET,17W,Amacrine,RET_19W_emb1_rep2_22,669
RET_19W_emb1_rep2_24,25.16960911,18.47923965,8,RET,17W,Photoreceptor,RET_19W_emb1_rep2_24,670
RET_19W_emb1_rep2_25,-18.64321093,20.59573875,7,RET,17W,RGC,RET_19W_emb1_rep2_25,671
RET_19W_emb1_rep2_26,3.862207127,29.34578862,5,RET,17W,Amacrine,RET_19W_emb1_rep2_26,672
RET_19W_emb1_rep2_27,8.701929514,6.7056822679999994,9,RET,17W,Muller,RET_19W_emb1_rep2_27,673
RET_19W_emb1_rep2_28,1.481232266,32.23223388,5,RET,17W,Amacrine,RET_19W_emb1_rep2_28,674
RET_19W_emb1_rep2_29,4.337057038999999,29.46121983,5,RET,17W,Amacrine,RET_19W_emb1_rep2_29,675
RET_19W_emb1_rep2_30,3.9350735589999997,31.81649191,5,RET,17W,Amacrine,RET_19W_emb1_rep2_30,676
RET_19W_emb1_rep2_31,2.853764702,29.17964253,5,RET,17W,Amacrine,RET_19W_emb1_rep2_31,677
RET_19W_emb1_rep2_32,4.419298632,29.84865346,5,RET,17W,Amacrine,RET_19W_emb1_rep2_32,678
RET_19W_emb1_rep2_33,23.65321505,16.49746827,8,RET,17W,Photoreceptor,RET_19W_emb1_rep2_33,679
RET_19W_emb1_rep2_35,4.002767143,31.12033655,5,RET,17W,Amacrine,RET_19W_emb1_rep2_35,680
RET_19W_emb1_rep2_36,24.68357085,16.60071294,8,RET,17W,Photoreceptor,RET_19W_emb1_rep2_36,681
RET_19W_emb1_rep2_37,24.81172002,17.5954647,8,RET,17W,Photoreceptor,RET_19W_emb1_rep2_37,682
RET_19W_emb1_rep2_38,24.47889907,18.67864384,8,RET,17W,Photoreceptor,RET_19W_emb1_rep2_38,683
RET_19W_emb1_rep2_39,3.955987997,29.94748744,5,RET,17W,Amacrine,RET_19W_emb1_rep2_39,684
RET_19W_emb1_rep2_40,24.01532034,17.94113548,8,RET,17W,Photoreceptor,RET_19W_emb1_rep2_40,685
RET_19W_emb1_rep2_41,2.8083185360000003,28.172546500000003,5,RET,17W,Amacrine,RET_19W_emb1_rep2_41,686
RET_19W_emb1_rep2_42,23.54733402,17.5338675,8,RET,17W,Photoreceptor,RET_19W_emb1_rep2_42,687
RET_19W_emb1_rep2_43,7.084376327,27.46313934,5,RET,17W,Horizontal,RET_19W_emb1_rep2_43,688
RET_19W_emb1_rep2_44,2.750682752,24.06427568,3,RET,17W,Amacrine,RET_19W_emb1_rep2_44,689
RET_19W_emb1_rep2_45,4.623704907,31.11710847,5,RET,17W,Amacrine,RET_19W_emb1_rep2_45,690
RET_19W_emb1_rep2_46,1.732726974,32.31040584,5,RET,17W,Amacrine,RET_19W_emb1_rep2_46,691
RET_19W_emb1_rep2_47,5.446827406000001,29.95757099,5,RET,17W,Amacrine,RET_19W_emb1_rep2_47,692
RET_19W_emb1_rep2_48,2.743309295,28.50821192,5,RET,17W,Amacrine,RET_19W_emb1_rep2_48,693
RET_19W_emb1_rep2_49,23.97499739,18.67561086,8,RET,17W,Photoreceptor,RET_19W_emb1_rep2_49,694
RET_19W_emb1_rep2_50,3.4578101230000002,24.20602456,3,RET,17W,Amacrine,RET_19W_emb1_rep2_50,695
RET_19W_emb2_rep1_1,23.02720505,15.89222455,8,RET,17W,Photoreceptor,RET_19W_emb2_rep1_1,696
RET_19W_emb2_rep1_2,25.78457285,16.81058655,8,RET,17W,Photoreceptor,RET_19W_emb2_rep1_2,697
RET_19W_emb2_rep1_3,5.0246808419999995,30.64665254,5,RET,17W,Amacrine,RET_19W_emb2_rep1_3,698
RET_19W_emb2_rep1_4,7.616591324,27.845389,5,RET,17W,Horizontal,RET_19W_emb2_rep1_4,699
RET_19W_emb2_rep1_5,3.795962308,30.484069,5,RET,17W,Amacrine,RET_19W_emb2_rep1_5,700
RET_19W_emb2_rep1_6,5.410813796,31.55197475,5,RET,17W,Amacrine,RET_19W_emb2_rep1_6,701
RET_19W_emb2_rep1_7,1.953225044,29.48265881,5,RET,17W,Amacrine,RET_19W_emb2_rep1_7,702
RET_19W_emb2_rep1_8,5.12590343,31.46998768,5,RET,17W,Amacrine,RET_19W_emb2_rep1_8,703
RET_19W_emb2_rep1_9,25.51579554,16.29745616,8,RET,17W,Photoreceptor,RET_19W_emb2_rep1_9,704
RET_19W_emb2_rep1_10,26.17714863,15.79101174,8,RET,17W,Photoreceptor,RET_19W_emb2_rep1_10,705
RET_19W_emb2_rep1_11,25.83081071,17.12729525,8,RET,17W,Photoreceptor,RET_19W_emb2_rep1_11,706
RET_19W_emb2_rep1_12,24.35519187,18.55521127,8,RET,17W,Photoreceptor,RET_19W_emb2_rep1_12,707
RET_19W_emb2_rep1_13,-31.09767362,-14.06215081,18,RET,17W,Microglia,RET_19W_emb2_rep1_13,708
RET_19W_emb2_rep1_14,25.26905537,16.36442161,8,RET,17W,Photoreceptor,RET_19W_emb2_rep1_14,709
RET_19W_emb2_rep1_15,24.6345235,18.27360449,8,RET,17W,Photoreceptor,RET_19W_emb2_rep1_15,710
RET_19W_emb2_rep1_16,9.821621421,6.540962531,9,RET,17W,Muller,RET_19W_emb2_rep1_16,711
RET_19W_emb2_rep1_17,6.095007256000001,29.07343787,5,RET,17W,Amacrine,RET_19W_emb2_rep1_17,712
RET_19W_emb2_rep1_18,6.865030612000001,29.74076997,5,RET,17W,Amacrine,RET_19W_emb2_rep1_18,713
RET_19W_emb2_rep1_19,25.58786066,17.25311596,8,RET,17W,Photoreceptor,RET_19W_emb2_rep1_19,714
RET_19W_emb2_rep1_20,25.35458643,18.29020719,8,RET,17W,Photoreceptor,RET_19W_emb2_rep1_20,715
RET_19W_emb2_rep1_21,8.88278191,6.853107594,9,RET,17W,Muller,RET_19W_emb2_rep1_21,716
RET_19W_emb2_rep1_22,11.22426176,6.533411367999999,9,RET,17W,Muller,RET_19W_emb2_rep1_22,717
RET_19W_emb2_rep1_24,3.519878757,30.5733846,5,RET,17W,Amacrine,RET_19W_emb2_rep1_24,718
RET_19W_emb2_rep1_25,3.967282633,33.00722307,5,RET,17W,Amacrine,RET_19W_emb2_rep1_25,719
RET_19W_emb2_rep1_26,2.074731515,29.06517154,5,RET,17W,Amacrine,RET_19W_emb2_rep1_26,720
RET_19W_emb2_rep1_27,23.98947626,16.39737651,8,RET,17W,Photoreceptor,RET_19W_emb2_rep1_27,721
RET_19W_emb2_rep1_28,-0.811968337,27.20330374,5,RET,17W,Amacrine,RET_19W_emb2_rep1_28,722
RET_19W_emb2_rep1_29,4.2637173839999996,30.85462615,5,RET,17W,Amacrine,RET_19W_emb2_rep1_29,723
RET_19W_emb2_rep1_30,24.09821325,15.72570007,8,RET,17W,Photoreceptor,RET_19W_emb2_rep1_30,724
RET_19W_emb2_rep1_31,3.1638918869999997,30.01308497,5,RET,17W,Amacrine,RET_19W_emb2_rep1_31,725
RET_19W_emb2_rep1_32,7.163657981,27.31570029,12,RET,17W,Horizontal,RET_19W_emb2_rep1_32,726
RET_19W_emb2_rep1_33,5.194729027,30.42570399,5,RET,17W,Amacrine,RET_19W_emb2_rep1_33,727
RET_19W_emb2_rep1_35,9.791963495,6.566204661,9,RET,17W,Muller,RET_19W_emb2_rep1_35,728
RET_19W_emb2_rep1_36,7.5170421670000005,7.961414645,9,RET,17W,Muller,RET_19W_emb2_rep1_36,729
RET_19W_emb2_rep1_37,5.530329856,26.12661516,3,RET,17W,Amacrine,RET_19W_emb2_rep1_37,730
RET_19W_emb2_rep1_38,21.79198362,15.54198625,8,RET,17W,Photoreceptor,RET_19W_emb2_rep1_38,731
RET_19W_emb2_rep1_39,-1.394691884,23.83464291,5,RET,17W,Amacrine,RET_19W_emb2_rep1_39,732
RET_19W_emb2_rep1_40,1.7668430069999999,29.34895963,5,RET,17W,Amacrine,RET_19W_emb2_rep1_40,733
RET_19W_emb2_rep1_41,2.739944041,24.23532762,3,RET,17W,Amacrine,RET_19W_emb2_rep1_41,734
RET_19W_emb2_rep1_42,-25.98946673,-10.92126971,18,RET,17W,Microglia,RET_19W_emb2_rep1_42,735
RET_19W_emb2_rep1_43,3.920501363,26.58732964,5,RET,17W,Amacrine,RET_19W_emb2_rep1_43,736
RET_19W_emb2_rep1_44,22.31481528,17.19406992,8,RET,17W,Photoreceptor,RET_19W_emb2_rep1_44,737
RET_19W_emb2_rep1_45,22.69090177,14.66841321,8,RET,17W,Photoreceptor,RET_19W_emb2_rep1_45,738
RET_19W_emb2_rep1_46,3.563154532,33.57666259,5,RET,17W,Amacrine,RET_19W_emb2_rep1_46,739
RET_19W_emb2_rep1_47,9.311167239,29.56595472,5,RET,17W,Amacrine,RET_19W_emb2_rep1_47,740
RET_19W_emb2_rep1_48,21.85785385,15.68262719,8,RET,17W,Photoreceptor,RET_19W_emb2_rep1_48,741
RET_19W_emb2_rep1_49,23.25451735,16.73973589,8,RET,17W,Photoreceptor,RET_19W_emb2_rep1_49,742
RET_19W_emb2_rep1_50,23.2151127,15.37469807,8,RET,17W,Photoreceptor,RET_19W_emb2_rep1_50,743
RET_19W_emb2_rep2_1,9.302524871000001,29.6373222,5,RET,17W,Amacrine,RET_19W_emb2_rep2_1,744
RET_19W_emb2_rep2_2,4.868797292,29.07157204,5,RET,17W,Amacrine,RET_19W_emb2_rep2_2,745
RET_19W_emb2_rep2_3,-31.00099571,-14.160608499999999,18,RET,17W,Microglia,RET_19W_emb2_rep2_3,746
RET_19W_emb2_rep2_4,5.65835511,29.48760875,5,RET,17W,Amacrine,RET_19W_emb2_rep2_4,747
RET_19W_emb2_rep2_5,22.80946341,18.47599068,8,RET,17W,Photoreceptor,RET_19W_emb2_rep2_5,748
RET_19W_emb2_rep2_6,22.83396976,18.39729318,8,RET,17W,Photoreceptor,RET_19W_emb2_rep2_6,749
RET_19W_emb2_rep2_7,0.981844266,22.52395058,3,RET,17W,Amacrine,RET_19W_emb2_rep2_7,750
RET_19W_emb2_rep2_8,25.71844142,17.45015629,8,RET,17W,Photoreceptor,RET_19W_emb2_rep2_8,751
RET_19W_emb2_rep2_9,11.70150027,6.360549061,9,RET,17W,Muller,RET_19W_emb2_rep2_9,752
RET_19W_emb2_rep2_10,2.639201845,31.4072793,5,RET,17W,Amacrine,RET_19W_emb2_rep2_10,753
RET_19W_emb2_rep2_11,4.233807026,33.79826885,5,RET,17W,Amacrine,RET_19W_emb2_rep2_11,754
RET_19W_emb2_rep2_12,7.134440441000001,27.47535822,12,RET,17W,Horizontal,RET_19W_emb2_rep2_12,755
RET_19W_emb2_rep2_13,7.534446295,30.21692531,5,RET,17W,Amacrine,RET_19W_emb2_rep2_13,756
RET_19W_emb2_rep2_14,6.134543352000001,29.16075047,5,RET,17W,Amacrine,RET_19W_emb2_rep2_14,757
RET_19W_emb2_rep2_15,23.01955726,16.90507277,8,RET,17W,Photoreceptor,RET_19W_emb2_rep2_15,758
RET_19W_emb2_rep2_16,3.5187203410000003,25.57649544,5,RET,17W,Amacrine,RET_19W_emb2_rep2_16,759
RET_19W_emb2_rep2_17,21.9540389,18.10051838,8,RET,17W,Photoreceptor,RET_19W_emb2_rep2_17,760
RET_19W_emb2_rep2_18,5.13075144,33.13259031,5,RET,17W,Amacrine,RET_19W_emb2_rep2_18,761
RET_19W_emb2_rep2_19,-30.44186175,-13.16740617,18,RET,17W,Microglia,RET_19W_emb2_rep2_19,762
RET_19W_emb2_rep2_20,-31.13690955,-14.12514673,18,RET,17W,Microglia,RET_19W_emb2_rep2_20,763
RET_19W_emb2_rep2_21,5.725295356,31.44633723,5,RET,17W,Amacrine,RET_19W_emb2_rep2_21,764
RET_19W_emb2_rep2_22,2.909104213,30.4358702,5,RET,17W,Amacrine,RET_19W_emb2_rep2_22,765
RET_19W_emb2_rep2_24,24.26350587,17.26421496,8,RET,17W,Photoreceptor,RET_19W_emb2_rep2_24,766
RET_19W_emb2_rep2_25,4.011713361,32.16322642,5,RET,17W,Amacrine,RET_19W_emb2_rep2_25,767
RET_19W_emb2_rep2_26,7.465058053,30.67173371,5,RET,17W,Amacrine,RET_19W_emb2_rep2_26,768
RET_19W_emb2_rep2_27,3.198525107,32.35709364,5,RET,17W,Amacrine,RET_19W_emb2_rep2_27,769
RET_19W_emb2_rep2_28,3.0715895019999997,32.38605297,5,RET,17W,Amacrine,RET_19W_emb2_rep2_28,770
RET_19W_emb2_rep2_29,4.321843509,31.49118949,5,RET,17W,Amacrine,RET_19W_emb2_rep2_29,771
RET_19W_emb2_rep2_30,8.075906789,7.154460567,9,RET,17W,Muller,RET_19W_emb2_rep2_30,772
RET_19W_emb2_rep2_31,2.9855538010000005,32.44542518,5,RET,17W,Amacrine,RET_19W_emb2_rep2_31,773
RET_19W_emb2_rep2_32,3.3767368660000003,31.0495822,5,RET,17W,Amacrine,RET_19W_emb2_rep2_32,774
RET_19W_emb2_rep2_33,24.4802761,16.27486611,8,RET,17W,Photoreceptor,RET_19W_emb2_rep2_33,775
RET_19W_emb2_rep2_35,7.969882701,27.61073089,12,RET,17W,Horizontal,RET_19W_emb2_rep2_35,776
RET_19W_emb2_rep2_36,4.758800447,27.36502594,5,RET,17W,Amacrine,RET_19W_emb2_rep2_36,777
RET_19W_emb2_rep2_37,23.01367937,18.61712699,8,RET,17W,Photoreceptor,RET_19W_emb2_rep2_37,778
RET_19W_emb2_rep2_38,25.80755588,13.090017199999998,8,RET,17W,Photoreceptor,RET_19W_emb2_rep2_38,779
RET_19W_emb2_rep2_39,23.69925582,15.64586407,8,RET,17W,Photoreceptor,RET_19W_emb2_rep2_39,780
RET_19W_emb2_rep2_40,23.69139292,16.40005371,8,RET,17W,Photoreceptor,RET_19W_emb2_rep2_40,781
RET_19W_emb2_rep2_41,2.062532776,29.99378009,5,RET,17W,Amacrine,RET_19W_emb2_rep2_41,782
RET_19W_emb2_rep2_42,3.775695165,26.88945051,5,RET,17W,Amacrine,RET_19W_emb2_rep2_42,783
RET_19W_emb2_rep2_43,3.300213769,32.62497034,5,RET,17W,Amacrine,RET_19W_emb2_rep2_43,784
RET_19W_emb2_rep2_44,11.11886596,6.195767716000001,9,RET,17W,Muller,RET_19W_emb2_rep2_44,785
RET_19W_emb2_rep2_45,8.911003121,6.289431667000001,9,RET,17W,Muller,RET_19W_emb2_rep2_45,786
RET_19W_emb2_rep2_46,25.36558118,16.53614454,8,RET,17W,Photoreceptor,RET_19W_emb2_rep2_46,787
RET_19W_emb2_rep2_47,25.68729012,17.19769354,8,RET,17W,Photoreceptor,RET_19W_emb2_rep2_47,788
RET_19W_emb2_rep2_48,2.5162389640000002,30.32507694,5,RET,17W,Amacrine,RET_19W_emb2_rep2_48,789
RET_19W_emb2_rep2_49,4.220538221,31.51332108,5,RET,17W,Amacrine,RET_19W_emb2_rep2_49,790
RET_19W_emb2_rep2_50,9.259376261,6.4032192310000005,9,RET,17W,Muller,RET_19W_emb2_rep2_50,791
RPE_19W_emb1_rep1_1,25.81078107,-8.718904781,6,RPE,17W,RPE,RPE_19W_emb1_rep1_1,792
RPE_19W_emb1_rep1_2,30.40402713,-13.09049343,16,RPE,17W,RPE,RPE_19W_emb1_rep1_2,793
RPE_19W_emb1_rep1_3,30.55611433,-16.383611900000002,16,RPE,17W,RPE,RPE_19W_emb1_rep1_3,794
RPE_19W_emb1_rep1_4,29.86000366,-12.548603100000001,16,RPE,17W,RPE,RPE_19W_emb1_rep1_4,795
