,PC1,PC2,group,tissue,stage,type,sam,idxOrder
RPE_8W_emb2_rep1_89,-18.94424245,-17.70287169,10,RPE,6W,Fibroblast,RPE_8W_emb2_rep1_89,1478
RPE_8W_emb2_rep1_90,-19.00261238,-17.18505958,10,RPE,6W,Fibroblast,RPE_8W_emb2_rep1_90,1479
RPE_8W_emb2_rep1_91,-19.17520934,-21.88868776,10,RPE,6W,Fibroblast,RPE_8W_emb2_rep1_91,1480
RPE_8W_emb2_rep1_92,-19.21358565,-20.55562561,10,RPE,6W,Fibroblast,RPE_8W_emb2_rep1_92,1481
RPE_8W_emb2_rep1_93,-18.97688895,-17.37346094,10,RPE,6W,Fibroblast,RPE_8W_emb2_rep1_93,1482
RPE_8W_emb2_rep1_94,-19.61958592,-20.75014744,10,RPE,6W,Fibroblast,RPE_8W_emb2_rep1_94,1483
RPE_8W_emb2_rep1_95,-18.95460613,-21.67649383,10,RPE,6W,Fibroblast,RPE_8W_emb2_rep1_95,1484
RPE_8W_emb2_rep1_96,-18.78270067,-21.55134942,10,RPE,6W,Fibroblast,RPE_8W_emb2_rep1_96,1485
RPE_8W_emb1_rep1_1,2.089513367,-32.49773323,0,RPE,6W,RPE,RPE_8W_emb1_rep1_1,1486
RPE_8W_emb1_rep1_2,4.519831228999999,-25.93268634,0,RPE,6W,RPE,RPE_8W_emb1_rep1_2,1487
RPE_8W_emb1_rep1_3,-3.33273213,-35.40088678,0,RPE,6W,RPE,RPE_8W_emb1_rep1_3,1488
RPE_8W_emb1_rep1_4,-2.8683584,-35.60788368,0,RPE,6W,RPE,RPE_8W_emb1_rep1_4,1489
RPE_8W_emb1_rep1_5,3.462737386,-36.0166783,0,RPE,6W,RPE,RPE_8W_emb1_rep1_5,1490
RPE_8W_emb1_rep1_6,4.9369761180000005,-34.71375648,0,RPE,6W,RPE,RPE_8W_emb1_rep1_6,1491
RPE_8W_emb1_rep1_7,5.166478146,-34.93720941,0,RPE,6W,RPE,RPE_8W_emb1_rep1_7,1492
RPE_8W_emb1_rep1_8,4.550109278,-35.04430021,0,RPE,6W,RPE,RPE_8W_emb1_rep1_8,1493
RPE_8W_emb1_rep1_9,5.133184508,-36.00738222,0,RPE,6W,RPE,RPE_8W_emb1_rep1_9,1494
RPE_8W_emb1_rep1_10,5.969742257999999,-35.43576405,0,RPE,6W,RPE,RPE_8W_emb1_rep1_10,1495
RPE_8W_emb1_rep1_11,4.300818259,-35.2571,0,RPE,6W,RPE,RPE_8W_emb1_rep1_11,1496
RPE_8W_emb1_rep1_12,10.56795774,-24.2639798,0,RPE,6W,RPE,RPE_8W_emb1_rep1_12,1497
RPE_8W_emb1_rep1_13,3.1375339760000003,-36.07950388,0,RPE,6W,RPE,RPE_8W_emb1_rep1_13,1498
RPE_8W_emb1_rep1_14,5.539766247999999,-35.597256,0,RPE,6W,RPE,RPE_8W_emb1_rep1_14,1499
RPE_8W_emb1_rep1_15,5.7180313279999995,-35.86392225,0,RPE,6W,RPE,RPE_8W_emb1_rep1_15,1500
RPE_8W_emb1_rep1_16,5.8653819810000005,-35.82095921,0,RPE,6W,RPE,RPE_8W_emb1_rep1_16,1501
RPE_8W_emb1_rep1_17,4.568487772,-25.90347367,0,RPE,6W,RPE,RPE_8W_emb1_rep1_17,1502
RPE_8W_emb1_rep1_18,4.631811723,-35.6997504,0,RPE,6W,RPE,RPE_8W_emb1_rep1_18,1503
RPE_8W_emb1_rep1_19,-3.309261732,-35.14384169,0,RPE,6W,RPE,RPE_8W_emb1_rep1_19,1504
RPE_8W_emb1_rep1_20,2.782127107,-34.89805778,0,RPE,6W,RPE,RPE_8W_emb1_rep1_20,1505
RPE_8W_emb1_rep1_21,2.811905145,-34.61371834,0,RPE,6W,RPE,RPE_8W_emb1_rep1_21,1506
RPE_8W_emb1_rep1_22,2.391325131,-35.93327431,0,RPE,6W,RPE,RPE_8W_emb1_rep1_22,1507
RPE_8W_emb1_rep1_24,2.840121186,-35.93677804,0,RPE,6W,RPE,RPE_8W_emb1_rep1_24,1508
RPE_8W_emb1_rep1_25,3.14194236,-34.88977527,0,RPE,6W,RPE,RPE_8W_emb1_rep1_25,1509
RPE_8W_emb1_rep1_26,-2.999557503,-33.61081408,0,RPE,6W,RPE,RPE_8W_emb1_rep1_26,1510
RPE_8W_emb1_rep1_27,2.789269763,-35.12264752,0,RPE,6W,RPE,RPE_8W_emb1_rep1_27,1511
RPE_8W_emb1_rep1_28,2.868680205,-35.00536757,0,RPE,6W,RPE,RPE_8W_emb1_rep1_28,1512
RPE_8W_emb1_rep1_29,3.1702518719999997,-34.10992521,0,RPE,6W,RPE,RPE_8W_emb1_rep1_29,1513
RPE_8W_emb1_rep1_30,10.67660946,-24.71259448,0,RPE,6W,RPE,RPE_8W_emb1_rep1_30,1514
RPE_8W_emb1_rep1_31,10.3667413,-24.11283841,0,RPE,6W,RPE,RPE_8W_emb1_rep1_31,1515
RPE_8W_emb1_rep1_32,2.2898558430000002,-33.10423027,0,RPE,6W,RPE,RPE_8W_emb1_rep1_32,1516
RPE_8W_emb1_rep1_33,-3.282516438,-33.77501865,0,RPE,6W,RPE,RPE_8W_emb1_rep1_33,1517
